GeoID,County,Area,Number_of_Cases,Total_Population,White,Black_AfricanAmerican,AIAN,Asian,NativeHawaian_PacificIslander,Other,Two_or_More_Races,percent_White,percent_Black_AfricanAmerican,percent_AIAN,percent_Asian,percent_NativeHawaian_PacificIslander,percent_Other,percent_Two_or_More_Races
35045000900,San Juan,South,13,2287,1719,0,189,3,0,326,50,75.16,0,8.26,0.13,0,14.25,2.19
35045942801,San Juan,West,7,2705,25,0,2670,2,0,0,8,0.92,0,98.71,0.07,0,0,0.3
35045942802,San Juan,,652,6751,103,12,6566,11,10,7,42,1.53,0.18,97.26,0.16,0.15,0.1,0.62
35045942803,San Juan,West,12,2745,62,10,2626,38,0,6,3,2.26,0.36,95.66,1.38,0,0.22,0.11
35045942900,San Juan,West,142,4475,32,16,4307,44,0,9,67,0.72,0.36,96.25,0.98,0,0.2,1.5
35045943000,San Juan,,170,4573,51,8,4447,0,0,9,58,1.12,0.17,97.24,0,0,0.2,1.27
35045943100,San Juan,South,6,1795,40,0,1668,2,0,0,85,2.23,0,92.92,0.11,0,0,4.74
35045943201,San Juan,South,102,5324,813,8,4186,0,0,192,125,15.27,0.15,78.63,0,0,3.61,2.35
35045943300,San Juan,Farmington West/Kirtland/La Plata,24,2137,1666,0,371,6,0,19,75,77.96,0,17.36,0.28,0,0.89,3.51
35047957200,San Miguel,Las Vegas,4,3890,2118,7,27,0,0,1489,249,54.45,0.18,0.69,0,0,38.28,6.4
35047957300,San Miguel,Las Vegas,7,2742,1716,175,88,104,0,580,79,62.58,6.38,3.21,3.79,0,21.15,2.88
35047957400,San Miguel,Las Vegas,13,4464,2714,45,76,16,0,1517,96,60.8,1.01,1.7,0.36,0,33.98,2.15
35047957500,Mora/Guadalupe/San Miguel East,,4,4363,2210,75,78,53,46,1782,119,50.65,1.72,1.79,1.21,1.05,40.84,2.73
35047957600,San Miguel,Pecos/Villanueva,4,6565,3769,43,21,0,0,2402,330,57.41,0.65,0.32,0,0,36.59,5.03
35047957700,San Miguel,N/A,3,1873,645,0,6,76,0,1146,0,34.44,0,0.32,4.06,0,61.19,0
35047957800,San Miguel,Las Vegas,14,4137,2331,31,74,126,13,1399,163,56.35,0.75,1.79,3.05,0.31,33.82,3.94
35049000101,Santa Fe,Opera Vicinity,8,4025,3800,42,20,33,0,64,66,94.41,1.04,0.5,0.82,0,1.59,1.64
35049000200,Santa Fe,Opera Vicinity,9,3719,3545,44,26,26,0,18,60,95.32,1.18,0.7,0.7,0,0.48,1.61
35049000300,Santa Fe,Agua Fria Neighborhood + Downtown,8,1643,1511,4,38,39,0,13,38,91.97,0.24,2.31,2.37,0,0.79,2.31
35049000400,Santa Fe,Agua Fria Neighborhood & Downtown,3,295,278,0,7,0,0,7,3,94.24,0,2.37,0,0,2.37,1.02
35049000500,Santa Fe,Agua Fria Neighborhood + Downtown,3,1907,1816,9,3,60,0,5,14,95.23,0.47,0.16,3.15,0,0.26,0.73
35049000600,Santa Fe,Agua Fria Neighborhood + Downtown,4,2140,2023,0,53,25,0,7,32,94.53,0,2.48,1.17,0,0.33,1.5
35049000700,Santa Fe,Agua Fria Neighborhood + Downtown,7,1787,1345,40,37,36,0,231,98,75.27,2.24,2.07,2.01,0,12.93,5.48
35049000800,Santa Fe,Agua Fria Neighborhood + Downtown,1,3130,2421,30,65,12,0,263,339,77.35,0.96,2.08,0.38,0,8.4,10.83
35049000900,Santa Fe,Agua Fria Neighborhood + Downtown,8,3455,3067,0,180,11,0,71,126,88.77,0,5.21,0.32,0,2.05,3.65
35049001001,Santa Fe,Agua Fria Neighborhood + Downtown,6,2050,1700,20,112,10,0,144,64,82.93,0.98,5.46,0.49,0,7.02,3.12
35049001002,Santa Fe,Agua Fria Neighborhood + Downtown,26,3652,3327,44,84,44,0,85,68,91.1,1.2,2.3,1.2,0,2.33,1.86
35049001102,Santa Fe,Agua Fria Village,17,3347,2811,6,88,86,0,222,134,83.99,0.18,2.63,2.57,0,6.63,4
35049001103,Santa Fe,Bellamah/Stamm,15,1686,1416,36,125,4,0,78,27,83.99,2.14,7.41,0.24,0,4.63,1.6
35049001105,Santa Fe,Bellamah/Stamm,8,2450,1755,107,138,34,0,340,76,71.63,4.37,5.63,1.39,0,13.88,3.1
35049001106,Santa Fe,Bellamah/Stamm,26,2976,2668,0,48,17,0,142,101,89.65,0,1.61,0.57,0,4.77,3.39
35049001107,Santa Fe,Bellamah/Stamm,31,4840,4321,0,79,0,0,191,249,89.28,0,1.63,0,0,3.95,5.14
35049001202,Santa Fe,Agua Fria Village,28,6219,5230,55,51,194,0,636,53,84.1,0.88,0.82,3.12,0,10.23,0.85
35049001203,Santa Fe,Agua Fria Village,32,2946,2543,0,78,12,0,218,95,86.32,0,2.65,0.41,0,7.4,3.22
35049001204,Santa Fe,Agua Fria Village,86,6581,5631,0,86,43,10,619,192,85.56,0,1.31,0.65,0.15,9.41,2.92
35049001205,Santa Fe,Airport Road,68,5477,4873,16,61,7,8,408,104,88.97,0.29,1.11,0.13,0.15,7.45,1.9
35049001301,Santa Fe,Airport Road,4,1748,1466,10,93,32,0,109,38,83.87,0.57,5.32,1.83,0,6.24,2.17
35049001302,Santa Fe,Airport Road,26,2554,2005,226,74,25,0,184,40,78.5,8.85,2.9,0.98,0,7.2,1.57
35049001303,Santa Fe,Airport Road,29,7419,6615,200,66,50,141,224,123,89.16,2.7,0.89,0.67,1.9,3.02,1.66
35049001304,Santa Fe,Airport Road,5,912,706,6,48,0,0,147,5,77.41,0.66,5.26,0,0,16.12,0.55
35049010102,Santa Fe,Pueblos Plus,4,4186,1971,0,136,0,0,1903,176,47.09,0,3.25,0,0,45.46,4.2
