GeoID,County,Area,Number_of_Cases,Total_Population,White,Black_AfricanAmerican,AIAN,Asian,NativeHawaian_PacificIslander,Other,Two_or_More_Races,percent_White,percent_Black_AfricanAmerican,percent_AIAN,percent_Asian,percent_NativeHawaian_PacificIslander,percent_Other,percent_Two_or_More_Races
35049010203,Santa Fe,Pueblos Plus,1,1023,829,6,20,0,0,77,91,81.04,0.59,1.96,0,0,7.53,8.9
35049010204,Santa Fe,Pueblos Plus,4,2159,1903,80,51,8,0,85,32,88.14,3.71,2.36,0.37,0,3.94,1.48
35049010304,Santa Fe,Opera Vicinity,10,3875,3315,30,228,24,0,254,24,85.55,0.77,5.88,0.62,0,6.55,0.62
35049010308,Santa Fe,South,13,2592,2033,4,21,0,0,419,115,78.43,0.15,0.81,0,0,16.17,4.44
35049010309,Santa Fe,South,4,1952,1709,0,6,38,0,165,34,87.55,0,0.31,1.95,0,8.45,1.74
35049010310,Santa Fe,South,6,1349,1258,0,39,0,0,0,52,93.25,0,2.89,0,0,0,3.85
35049010311,Santa Fe,South,11,4416,4101,9,29,0,0,80,197,92.87,0.2,0.66,0,0,1.81,4.46
35049010312,Santa Fe,South,17,4592,4380,0,0,23,0,161,28,95.38,0,0,0.5,0,3.51,0.61
35049010314,Santa Fe,Bellamah/Stamm,14,2123,1953,4,17,8,0,77,64,91.99,0.19,0.8,0.38,0,3.63,3.01
35049010315,Santa Fe,Bellamah/Stamm,6,2446,2161,14,14,49,0,49,159,88.35,0.57,0.57,2,0,2,6.5
35049010316,Santa Fe,Bellamah/Stamm,7,1478,1322,14,5,16,0,54,67,89.45,0.95,0.34,1.08,0,3.65,4.53
35049010400,Santa Fe,East Foothills + Eldorado,10,3261,2894,25,48,98,4,172,20,88.75,0.77,1.47,3.01,0.12,5.27,0.61
35049010500,Santa Fe,East Foothills + Eldorado,8,1788,1693,0,18,11,0,56,10,94.69,0,1.01,0.62,0,3.13,0.56
35049010601,Santa Fe,East Foothills + Eldorado,17,5841,4758,26,104,536,0,347,70,81.46,0.45,1.78,9.18,0,5.94,1.2
35049010602,Santa Fe,East Foothills + Eldorado,2,3143,2909,0,95,43,0,30,66,92.55,0,3.02,1.37,0,0.95,2.1
35049010603,Santa Fe,East Foothills + Eldorado,12,2112,1803,7,43,0,0,125,134,85.37,0.33,2.04,0,0,5.92,6.34
35049010700,Santa Fe,East Foothills + Eldorado,9,5277,4766,178,28,86,0,136,83,90.32,3.37,0.53,1.63,0,2.58,1.57
35049010800,Santa Fe,East Foothills + Eldorado,4,3042,2687,11,24,11,0,300,9,88.33,0.36,0.79,0.36,0,9.86,0.3
35049010900,Santa Fe,Opera Vicinity,12,3196,2916,46,26,34,0,89,85,91.24,1.44,0.81,1.06,0,2.78,2.66
35049940300,Santa Fe,Pueblos Plus,3,1881,894,16,719,9,2,202,39,47.53,0.85,38.22,0.48,0.11,10.74,2.07
35049940400,Santa Fe,Pueblos Plus,5,1468,792,0,415,30,3,222,6,53.95,0,28.27,2.04,0.2,15.12,0.41
35049940500,Santa Fe,Pueblos Plus,3,1613,794,4,452,0,4,278,81,49.23,0.25,28.02,0,0.25,17.23,5.02
35049940600,Santa Fe,Pueblos Plus,16,3333,2018,25,441,12,3,667,167,60.55,0.75,13.23,0.36,0.09,20.01,5.01
35049940900,Santa Fe,Pueblos Plus,20,2936,1319,62,52,49,0,1394,60,44.93,2.11,1.77,1.67,0,47.48,2.04
35049980000,Santa Fe County,State Pen,,877,319,40,45,0,0,364,109,36.37,4.56,5.13,0,0,41.51,12.43
35051962200,Sierra,N/A,8,3156,2567,8,312,46,0,159,64,81.34,0.25,9.89,1.46,0,5.04,2.03
35051962300,Sierra/Catron,,10,3258,2921,57,46,24,0,112,98,89.66,1.75,1.41,0.74,0,3.44,3.01
35051962401,Sierra/Catron,,6,2170,2152,0,18,0,0,0,0,99.17,0,0.83,0,0,0,0
35051962402,Sierra/Catron,,9,2551,2365,0,0,0,0,39,147,92.71,0,0,0,0,1.53,5.76
35053940000,Socorro,N/A,27,1085,10,0,1075,0,0,0,0,0.92,0,99.08,0,0,0,0
35053978100,Socorro,,10,4964,4165,0,300,87,0,54,358,83.9,0,6.04,1.75,0,1.09,7.21
35053978200,Socorro,,23,1180,1130,0,22,0,0,8,20,95.76,0,1.86,0,0,0.68,1.69
35053978301,Socorro,,6,3238,2681,0,142,187,0,140,88,82.8,0,4.39,5.78,0,4.32,2.72
35053978302,Socorro,N/A,4,2918,2276,63,93,233,0,140,113,78,2.16,3.19,7.98,0,4.8,3.87
35053978303,Socorro,N/A,9,3615,3050,0,283,0,0,185,97,84.37,0,7.83,0,0,5.12,2.68
35055940000,Taos,Downtown and High Road,7,2216,1562,0,334,3,1,281,35,70.49,0,15.07,0.14,0.05,12.68,1.58
35055940100,Taos,Downtown and High Road,35,9421,7324,40,1518,28,0,324,187,77.74,0.42,16.11,0.3,0,3.44,1.98
35055952100,Taos,Northwest,31,4816,4604,0,33,0,0,177,2,95.6,0,0.69,0,0,3.68,0.04
35055952300,Taos,Northwest,1,2521,2419,0,13,0,0,49,40,95.95,0,0.52,0,0,1.94,1.59
35055952600,Taos,Downtown and High Road,13,8009,6865,82,419,46,0,255,342,85.72,1.02,5.23,0.57,0,3.18,4.27
35055952700,Taos,Downtown and High Road,24,5905,5255,30,58,0,0,562,0,88.99,0.51,0.98,0,0,9.52,0
35057963201,Torrance,,7,3630,3189,146,3,0,0,79,213,87.85,4.02,0.08,0,0,2.18,5.87
35057963202,Torrance,,18,3609,3210,82,110,31,0,57,119,88.94,2.27,3.05,0.86,0,1.58,3.3
35057963600,Torrance,,76,6474,6090,39,42,0,0,138,165,94.07,0.6,0.65,0,0,2.13,2.55
35057963700,Torrance,,7,1882,1789,6,11,26,0,33,17,95.06,0.32,0.58,1.38,0,1.75,0.9
35059950200,Colfax/Union,,32,4175,3543,82,92,2,0,298,158,84.86,1.96,2.2,0.05,0,7.14,3.78
35061940300,Valencia,NE,6,1058,58,0,966,0,0,4,30,5.48,0,91.3,0,0,0.38,2.84
35061970101,Valencia,NE,49,4253,3676,0,28,0,0,363,186,86.43,0,0.66,0,0,8.54,4.37
35061970102,Valencia,NE,31,6500,5281,0,53,218,0,836,112,81.25,0,0.82,3.35,0,12.86,1.72
35061970200,Valencia,NE,13,3827,3219,11,195,50,0,202,150,84.11,0.29,5.1,1.31,0,5.28,3.92
35061970301,Valencia,SE,117,7072,4662,0,173,0,0,2021,216,65.92,0,2.45,0,0,28.58,3.05
35061970302,Valencia,SE,5,2778,2091,116,34,20,0,390,127,75.27,4.18,1.22,0.72,0,14.04,4.57
35061970303,Valencia,SE,22,6486,5744,0,64,0,0,490,188,88.56,0,0.99,0,0,7.55,2.9
35061970401,Valencia,Los Lunas,22,5044,3905,150,169,91,0,532,197,77.42,2.97,3.35,1.8,0,10.55,3.91
35061970404,Valencia,Los Lunas,30,4654,4099,51,40,5,0,268,191,88.07,1.1,0.86,0.11,0,5.76,4.1
35061970405,Valencia,Los Lunas,29,3819,3174,211,87,40,0,159,148,83.11,5.53,2.28,1.05,0,4.16,3.88
35061970700,Valencia,West and Belen,32,7136,5891,60,355,0,0,521,309,82.55,0.84,4.97,0,0,7.3,4.33
35061970800,Valencia,West and Belen,14,5760,4945,18,543,54,0,157,43,85.85,0.31,9.43,0.94,0,2.73,0.75
35061970901,Valencia,West and Belen,19,4962,4060,60,233,7,0,448,154,81.82,1.21,4.7,0.14,0,9.03,3.1
35061970902,Valencia,West and Belen,7,1856,1623,37,0,0,0,165,31,87.45,1.99,0,0,0,8.89,1.67
35061971000,Valencia,SE,19,4587,3910,32,149,0,0,496,0,85.24,0.7,3.25,0,0,10.81,0
35061971100,Valencia,SE,19,1328,1170,0,0,0,0,134,24,88.1,0,0,0,0,10.09,1.81
35061971300,Valencia,West and Belen,14,1712,1425,27,49,0,0,177,34,83.24,1.58,2.86,0,0,10.34,1.99
35061971400,Valencia,Los Lunas,20,3124,2458,66,118,158,0,168,156,78.68,2.11,3.78,5.06,0,5.38,4.99
